asin,n_obs,mae,rmse,r2,mape
B0DQSJ4QHB,3,4.718035380045574,5.012146959895482,0.9982597680549737,6.52679176424751
B0FV8MD221,9,4.0181666819254565,6.603165087130003,0.9832384794388026,3.866526859210817
B0G1PJLWLZ,23,4.274603199336842,8.572334314688133,0.9972581756609692,5.573036334774464
B0CLNBSHBY,17,7.315711856168858,10.191990062918343,0.9933151240179369,5.3064256022937
B0GD21577Z,72,5.545190625455643,11.813004670394747,0.9942468796321176,7.936580204526532
B081HH5X61,5,6.712589580535888,12.24243462607423,0.6254652494699309,15.736094521933824
B0F1K9WXH8,13,10.276699377206652,13.73181258043609,0.9897261421903056,7.961840425088111
B0GN4943CW,25,9.015681410217285,14.084446056836352,0.9929178691909692,11.42226393191628
B09B27J11J,13,8.13895920386681,14.137397122793425,0.9737213624409548,10.888734796459412
B0FW4H14LB,93,5.89618095049294,14.418944617732203,0.9863296760413388,7.565393107439207
B002HZHUCW,206,8.36894671310499,14.984020633686313,0.9847869618872386,7.681599058644868
B0DZ54SVWG,108,9.487389139422666,15.858813753376387,0.9778351133042981,10.108710563138532
B0DH3FV295,93,8.903202093185918,17.04766674295234,0.980625096859718,8.376776395930111
B0BF6T86WD,206,9.322020229413669,17.44939878927655,0.9910417880627447,7.494500466014677
B00378KMFU,202,8.77445197350908,17.61090217528094,0.9895297769854768,7.432951361306815
B075LT8YLR,202,9.518799711359609,17.63881386687414,0.9879707728216174,7.969707545800989
B00KZP1BUI,206,8.967613802419125,17.711386121343732,0.9842112951272498,8.604995243081127
B09HC5GRKY,206,9.22459754082763,17.80446584928524,0.9862381553957412,7.390325980516174
B0DW97VBWL,205,9.885612798737315,17.941065600096664,0.9812532944806709,8.343977714499909
B00NKYYMAW,206,7.6774440322801905,18.353431919212262,0.986022749977712,7.429473698668349
B09YLFHFDW,202,9.572793511872245,18.366022354619137,0.9831140397081654,7.883906320877003
B000J1FABY,206,9.37735707264502,18.535998659101452,0.9879597560862327,7.401160246482745
B01J4KU2UO,205,9.47944084000006,18.63960839142602,0.9885413851568742,8.23907636974845
B01CG8N0H8,206,9.006842305081562,18.643612241384698,0.984303562550567,8.147814940489893
B0FG8XLBJ6,194,10.290073765626888,18.92725364711864,0.9826971049262179,8.62446207644209
B015PK4IAW,206,9.336893702016294,18.988372401989178,0.9880903044338752,8.433440030374319
B002QPZXH2,206,8.51584140999803,19.07103085547187,0.9854751967544075,6.3583458700805435
B000JE9LD4,206,8.74912354561889,19.266687487756194,0.9926384365551287,7.192772781385075
B01D5H8P0G,206,9.12801057408157,19.382180025075968,0.9881923416414796,6.984093508579832
B0000BYBVT,206,9.247052531010896,19.82823810435301,0.9872670288965716,7.11761004377765
B0044ABZWE,206,9.105092191418397,20.076103649339892,0.9875109716332185,7.225727297827709
B08VM9JN7H,190,9.211294018293682,20.137500341530075,0.9917453210192179,7.70511713332847
