asin,n_obs,mae,rmse,r2,mape
B0DQSJ4QHB,10,2.416969230651852,4.36879492557381,0.9985960020215771,1.4496075606171426
B0DM5D9VPH,2,5.401463470458985,6.107495459867816,0.9996190451198943,4.654163115863423
B09B27J11J,20,3.6817672176361085,6.1358819734050405,0.9914427117875926,4.812955680639642
B08QMG7Z4R,24,5.688949419657391,8.356619104759261,0.9965618464531736,5.350459346436371
B0GQVBT32P,20,5.719050634384157,8.481927439741257,0.9973359382733749,7.010253872172066
B0CLNBSHBY,24,4.719167796770733,8.803286064174264,0.9902515375951039,7.281617481924041
B0G6HLWS6Q,40,5.0977417144775385,10.574946507286297,0.9803785301071893,6.318791724217679
B0F1K9WXH8,20,6.777672403335572,10.618452873500287,0.9951123373562744,8.44249583899401
B00176T9OY,205,5.705405590801704,13.150991944874402,0.9903908258322915,4.693055555323181
B000E8SWQM,213,6.0803944899330675,13.614164366269412,0.9868503682236236,5.889957914274873
B004PO10E2,213,6.430824236265369,13.614295867199862,0.9933923252660251,5.052033832705988
B0000511U7,211,6.595364817307458,13.651528436732518,0.9938304406342987,5.954705069765008
B09L951YB4,10,8.882660459518434,13.69038740725475,0.9800701226873624,7.544558308155393
B000JE9LD4,213,6.693177158910903,14.28754107179235,0.9919877040136967,5.402507999285443
B00001R3W3,213,6.557962725016992,14.38782467907732,0.9891104053857537,5.658744384127477
B006LW0W5Y,213,6.172546960176996,14.816651703749454,0.9925051068756373,5.654159804664297
B0F8YDRXNY,116,7.657748150989928,14.833635700142052,0.9859178916415865,6.017298880786557
B09MFCKZX7,211,8.229202344361074,14.992540222172691,0.9907980833957628,7.149023123707493
B081HH5X61,12,10.050018107096351,15.036609388851314,0.9660643573284623,8.905183503785745
B000J1FABY,213,7.103864478796301,15.142256227259727,0.9893921700187419,5.509553853504166
B0BSVQ37CB,213,7.8814726217923585,15.890276413126282,0.9895926004689233,6.203331958635349
B0FHWKYT89,7,9.061804019383022,15.913517069962495,0.9837793789197612,5.217142431140413
B00B1EO1Z4,213,6.932176106323099,15.970117249293382,0.9895480923580288,5.976188788395772
B0BJDY6D1W,213,7.609265479862409,16.09473574809107,0.9826453972689475,6.331261861820633
B09GJZKQ3K,213,7.761673789046739,16.27864871677025,0.9895632116199625,6.041113790527013
B0CG7GHYXJ,205,7.644217501384455,16.305456785636462,0.988619869681037,6.160454979929554
B08NP57YRG,213,7.890300253209933,16.464588063188348,0.9845534737058931,7.05706271708703
B00378KMFU,211,6.017165840564746,16.493192055687423,0.9884145998795446,4.767610668647806
B09478CKG2,212,8.38192653368104,16.55869355239457,0.9896457493567303,6.3950912841771235
B008GRTSV6,213,8.117399546126244,16.60554390306314,0.9888926643442723,5.40423467852377
B001E1Y5O6,206,7.566810821329506,16.854322431957936,0.9910696809179388,5.317609463525623
B07NWB8H5S,213,8.54119060498448,16.985752618729297,0.9887086352368994,6.914931133115361
B0FV8MD221,16,9.171653327941893,17.042534320651857,0.9091373597765361,12.05819328506618
B08W5BN4FK,213,9.03245286574386,17.133222044935795,0.988031270122713,6.802587790394606
B00004WLJ6,207,7.44318106840198,17.258624863931487,0.9952338420585981,5.026598942003022
B01MTB55WH,208,7.23180902811197,17.305821002001117,0.986159968073555,5.704607913269022
B09D5PW315,206,8.923800694734146,17.37461848046041,0.992588632176524,6.578230205364549
B0B18TST2R,213,8.183288649885867,17.41473662008019,0.9850210543552472,6.261975218934909
B0CT6D6Q27,213,8.671824242139646,17.538410634714058,0.9866092108661872,6.309324680643619
B0CZPLV566,213,8.582775437529659,17.5826313196916,0.9910913332773226,7.788855045985864
B09G9FPHY6,213,7.439472269049273,17.630918833954038,0.9855939172095137,6.288463266857651
B0044ABZWE,213,6.719957250227951,17.65985723384125,0.9909276190867926,4.82498470934333
B0BS1QCFHX,212,8.715526724311541,17.689244094068968,0.9889627271346586,6.347609441524179
B017JS6PD6,213,7.976531638203654,17.763837658619224,0.9914787030226627,5.789977263203853
B0BQPZ7DMV,213,6.567220363616942,18.04929748591157,0.9901581744604194,5.054480076048801
B00QOQU95K,213,7.691672767406338,18.070908003740808,0.9887654176504128,4.811572619728571
B0F1PQD5GW,213,8.002819416780426,18.093434554466405,0.9729042025563726,7.328025175540957
B00HH4AU1Q,213,7.9534472568494055,18.26539620974485,0.9897175284966703,5.390106692019544
B09V9P5Q6W,213,8.811422190151305,18.354511623283468,0.98771236425273,5.965856088377096
B01AQ6OWAG,213,8.916609748159775,18.388192772948234,0.9891133841362255,8.356825419079257
B00L3KO5WK,213,7.84935979431224,18.44786799526121,0.9879533350365627,4.9454303883925315
B0CRTYZG5C,199,9.86809364223001,18.57670207444832,0.9824527113929993,7.612427502799278
B00DESZGFO,213,6.889815195647763,18.591721552855937,0.9835196486304154,5.487551540061143
B0B4VXHBNP,145,6.508370710438696,18.70585425990813,0.9827686883792843,5.048192127059404
B07G95FFN3,213,7.818572360114872,18.86824000060572,0.9870829606313095,6.312525413164974
B07MTRQ6B3,211,9.98132257253638,18.926749612377986,0.9848139382622348,8.478889178601518
B07T72QG3K,213,9.399479794838062,19.000781919535793,0.9887058214484837,7.026403121796116
B09CY995KT,213,9.363852396056126,19.11866591840089,0.9845277302601074,6.996605278059191
B002HZHUCW,213,8.04326724818055,19.16378785786319,0.9881372840380409,4.882805530709211
