,importance
dist_from_30d_low,0.20869806
price_minmax_asin,0.08790443
price_z_asin,0.08027145
rsi_14d,0.04053081
pct_change_14d,0.04051461
price_vs_global_min,0.026190015
global_mean,0.023388645
price_vs_global_mean,0.022418039
month,0.021514708
log_mean_price,0.020762255
global_norm_sd,0.019654302
count_used,0.019090949
amazon_pct_change_7d,0.018167343
price_vs_global_max,0.018142117
roll7_max,0.017514622
list_price,0.017171232
day_of_year_sin,0.017129643
global_min,0.017057426
global_max,0.016456267
keepa_minutes,0.016358413
dist_from_30d_high,0.016191738
new_price,0.0155484
price_lag30,0.01545889
roll7_min,0.015289322
day_of_year_cos,0.01514482
used_price,0.014697035
roll7_std,0.013846102
count_new,0.013831079
sales_score,0.012977712
price,0.012968225
roll7_mean,0.012797952
price_lag1,0.012660154
amazon_ma_14d,0.012635115
rsi_7d,0.011656843
amazon_ma_7d,0.011036751
pct_change_1d,0.010824754
amazon_delta_7d,0.010597209
price_vs_roll7_z,0.010382285
velocity_3d,0.009049319
day_of_week,0.0034709964
