,importance
amazon_ma_7d,0.43279612
price,0.3832645
amazon_ma_14d,0.06812179
list_price,0.026466291
log_mean_price,0.020829732
global_min,0.013882948
new_price,0.009999076
global_max,0.007560692
roll7_mean,0.0067202672
count_new,0.00609673
price_lag1,0.005749757
global_mean,0.004645179
price_vs_global_max,0.0012021058
used_price,0.0010225753
global_norm_sd,0.0010217429
price_vs_global_min,0.000917757
month,0.00071821734
keepa_minutes,0.00070156396
price_vs_global_mean,0.0006919906
day_of_year_sin,0.0005794756
price_minmax_asin,0.0005359514
day_of_year_cos,0.000519597
roll7_max,0.00049688324
price_z_asin,0.00049372425
dist_from_30d_low,0.000443632
sales_score,0.00044169155
roll7_min,0.00041241784
pct_change_14d,0.00040548525
price_lag30,0.00040375002
amazon_pct_change_7d,0.000391702
dist_from_30d_high,0.0003654542
rsi_14d,0.00032388093
rsi_7d,0.0003152917
count_used,0.0002973077
price_vs_roll7_z,0.00025735932
amazon_delta_7d,0.0002474133
roll7_std,0.00020375875
velocity_3d,0.00020085074
pct_change_1d,0.00017148972
day_of_week,8.3864674e-05
