price_tier,n,mae,mape
Q1 (cheap),24189,1.0352850178502473,6.8010359122502315
Q2,23600,3.431184741967411,8.38222051561548
Q3,23960,10.230236611237311,9.362946642834794
Q4 (expensive),23764,43.40709284198262,10.314669254386319
