asin,category,brand,global_min,global_max,global_norm_sd,log_mean_price
B07MTRQ6B3,172282,Sceptre,86.08,296.0,0.24600186593981832,5.146916319163423
B07Q7DM9HP,172282,Amazon Basics,8.48,21.37,0.16921310851836652,2.7217535805974804
B07Q8WH9TX,172282,JBL,29.95,72.0,0.14896021873024257,3.950794007444416
B07T72QG3K,172282,PERLESMITH,33.99,60.09,0.19553776262173897,3.8198199933745323
B082FJXVW6,172282,POWSAV,7.99,13.99,0.1676511209116756,2.603771720915426
B084SDXVBD,172282,Polaroid,13.0,18.99,0.07795496164388957,2.8545264863060007
B0B4MV1TGL,172282,Fitbit,139.96,299.95,0.14695280533318827,5.554200036123441
B0BQPRV3NJ,172282,JBL,59.95,109.95,0.12648620841408262,4.540085755351242
B0CLF2DNMV,172282,Samsung,169.99,278.99,0.12680915353091252,5.424904586934033
B0DVTGBCBL,172282,JBL,49.95,89.95,0.17803895993676977,4.188809654549824
B078MBL6KM,172282,PERLESMITH,15.49,53.89,0.23299264130685546,3.4119751577848487
B0C6LSD69F,172282,Samsung,199.99,379.0,0.12330571221792434,5.736875164119163
B0CG19QXWD,172282,DJI,420.0,799.0,0.2003768338193132,6.404829499062422
B0CPNYDXQL,172282,Skullcandy,97.99,209.99,0.2677550626027899,5.055099662982845
B000JJI6XA,172282,Belkin,7.0,25.94,0.25014639722085863,2.7541349189139734
B0044ABZWE,172282,KODAK,26.97,32.67,0.048971232231226645,3.4740971470590045
B071DGMNMX,172282,YiwerDer,8.99,8.99,0.0,2.301584592660462
B08NP57YRG,172282,Mifaso,24.39,51.99,0.08908202869851232,3.5193369581423073
B0787W458R,172282,DreamSky,13.38,50.7,0.28719160931999593,3.274182913659882
B07H9RYVZ4,172282,Amazon Basics,50.56,234.61,0.22008395310547843,4.30143373847201
B09M94KXPN,172282,Apple,114.99,169.0,0.1884358296349501,4.901167590043586
B0CK3XTZ2Y,172282,Apple,608.0,818.0,0.07844047463570325,6.5706491318046565
B0D5KKV2MS,172282,Hisense,129.99,203.76,0.10841684520078845,5.092806762871271
B0D7QTSXY5,172282,Beats,117.99,178.99,0.1211625133390407,4.958936601224738
B07FYXRH99,172282,DS18,34.97,38.95,0.05384199134199139,3.636532973741727
B0D1DFRKNG,172282,Samsung,229.99,399.99,0.14136954697170423,5.804463669518442
B0DYWNQMQJ,172282,Hisense,549.96,1299.99,0.2501358288345512,6.664699602441584
B0FW4H14LB,172282,TOZO,49.99,79.99,0.22013634092921933,4.0545058803877225
