,importance
price,0.44655627
amazon_ma_7d,0.32718796
amazon_ma_14d,0.055727437
list_price,0.039831743
global_min,0.024112998
global_mean,0.023789046
log_mean_price,0.018011233
new_price,0.0175498
global_max,0.014017498
count_new,0.007651041
price_lag1,0.003631486
price_vs_list,0.0018955359
roll30_mean,0.0016977795
price_vs_global_min,0.001634183
roll14_mean,0.0013895611
price_vs_global_mean,0.0012184625
week_of_year,0.0011588072
used_price,0.0010802045
roll14_min,0.0008451907
keepa_minutes,0.0008343885
global_norm_sd,0.0007765497
roll30_min,0.0007048116
roll30_max,0.00063177105
pct_change_14d,0.0006249397
amazon_pct_change_7d,0.00062406017
price_vs_30d_mean,0.0005974004
roll7_min,0.00058009697
price_vs_global_max,0.00047505493
price_vs_used,0.00046108966
roll30_std,0.0004560998
roll14_max,0.00044858927
price_lag30,0.0004110498
roll14_std,0.00038650475
month,0.000378383
sales_score,0.00037615746
roll7_max,0.0003743243
price_vs_14d_mean,0.00033332506
count_used,0.0002885329
price_vs_new,0.00027806504
roll7_std,0.00024301003
amazon_delta_7d,0.0002366603
price_vs_7d_mean,0.00021970988
day_of_week,0.00012803142
pct_change_1d,0.00010782756
is_weekend,3.7409132e-05
